DÃ­a,Yoga: (Argentina),cerveceria: (Argentina)
2020-02-13,45,22
2020-02-14,51,34
2020-02-15,55,36
2020-02-16,55,27
2020-02-17,56,19
2020-02-18,40,15
2020-02-19,53,20
2020-02-20,54,24
2020-02-21,54,16
2020-02-22,44,27
2020-02-23,52,30
2020-02-24,52,18
2020-02-25,47,25
2020-02-26,43,19
2020-02-27,52,18
2020-02-28,48,20
2020-02-29,40,20
2020-03-01,51,16
2020-03-02,50,19
2020-03-03,53,13
2020-03-04,50,11
2020-03-05,52,21
2020-03-06,44,25
2020-03-07,46,27
2020-03-08,35,23
2020-03-09,55,15
2020-03-10,51,8
2020-03-11,45,10
2020-03-12,42,20
2020-03-13,34,21
2020-03-14,46,21
2020-03-15,30,19
2020-03-16,47,9
2020-03-17,46,6
2020-03-18,58,14
2020-03-19,57,3
2020-03-20,65,4
2020-03-21,88,2
2020-03-22,100,0
2020-03-23,97,5
2020-03-24,87,1
2020-03-25,61,2
2020-03-26,93,4
2020-03-27,62,6
2020-03-28,83,5
2020-03-29,98,2
2020-03-30,88,2
2020-03-31,87,4
2020-04-01,66,2
2020-04-02,77,3
2020-04-03,66,5
2020-04-04,68,3
2020-04-05,71,3
2020-04-06,72,5
2020-04-07,67,8
2020-04-08,57,7
2020-04-09,55,3
2020-04-10,86,1
2020-04-11,74,5
2020-04-12,68,3
2020-04-13,61,2
2020-04-14,63,7
2020-04-15,62,1
2020-04-16,60,4
2020-04-17,71,4
2020-04-18,59,10
2020-04-19,85,9
2020-04-20,76,2
2020-04-21,67,4
2020-04-22,69,4
2020-04-23,63,4
2020-04-24,77,5
2020-04-25,73,5
2020-04-26,68,5
2020-04-27,62,3
2020-04-28,71,4
2020-04-29,64,5
2020-04-30,71,9
2020-05-01,77,5
2020-05-02,68,4
2020-05-03,60,7
2020-05-04,65,4
2020-05-05,70,3
2020-05-06,64,3
2020-05-07,60,3
2020-05-08,68,6
2020-05-09,44,6
